timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-11 16:00:00+00:00,339.41933,8810.7766,0.0,1111.29,0.0,25305.089,0.0
2050-01-11 17:00:00+00:00,0.0,5873.851,0.0,1111.29,0.0,24305.089,0.0
2050-01-11 18:00:00+00:00,0.0,2936.9255,0.0,1111.29,0.0,23305.089,0.0
2050-01-11 19:00:00+00:00,0.0,0.0,0.0,1111.29,0.0,22305.089,0.0
2050-01-11 20:00:00+00:00,0.0,0.0,0.0,1111.29,0.0,23115.089,0.0
2050-01-11 21:00:00+00:00,0.0,0.0,0.0,1111.29,0.0,23925.089,0.0
2050-01-11 22:00:00+00:00,0.0,0.0,0.0,1111.29,0.0,24735.089,0.0
2050-01-11 23:00:00+00:00,0.0,0.0,7944.1068,1111.29,0.0,25545.089,0.0
2050-01-12 00:00:00+00:00,0.0,2701.9715,20253.088,1111.29,0.0,26355.089,2953.5526
2050-01-12 01:00:00+00:00,0.0,4800.6426,32562.069,1111.29,0.0,27165.089,6643.5526
2050-01-12 02:00:00+00:00,0.0,7502.6141,44871.05,1111.29,0.0,27975.089,10333.553
